temperature,pressure,specific_volume,specific_internal_energy,specific_enthalpy,specific_entropy,temperature$uncertainty,pressure$uncertainty,specific_volume$uncertainty,specific_internal_energy$uncertainty,specific_enthalpy$uncertainty,specific_entropy$uncertainty,$citation
553.15,10000000.0,0.0013226,1221800.0,1235000.0,3056.5,0.0,0.0,2.8649999999999965e-05,50100.0,50350.0,92.75,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
573.15,10000000.0,0.001398,1329400.0,1343300.0,3248.8,0.0,0.0,3.7699999999999995e-05,53800.0,54150.0,96.15000000000009,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
615.31,15000000.0,0.0016572,1585500.0,1610300.0,3684.8,0.0,0.0,0.0001296,128050.0,133500.0,218.0,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
273.15,15000000.0,0.0009928,180.0,15070.0,0.4,0.0,0.0,1.1500000000000008e-06,41415.0,41430.0,146.4,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
293.15,15000000.0,0.0009951,83010.0,97930.0,293.2,0.0,0.0,1.1500000000000008e-06,41370.0,41420.0,136.70000000000002,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
313.15,15000000.0,0.0010013,165750.0,180770.0,566.6,0.0,0.0,3.100000000000021e-06,41370.0,41420.0,128.39999999999998,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
333.15,15000000.0,0.0010105,248580.0,263740.0,823.4,0.0,0.0,4.599999999999895e-06,41415.0,41485.0,121.25000000000006,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
353.15,15000000.0,0.0010221,331590.0,346920.0,1065.9,0.0,0.0,5.8000000000000326e-06,41505.0,41590.0,114.94999999999993,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
373.15,15000000.0,0.0010361,414850.0,430390.0,1295.8,0.0,0.0,7.000000000000062e-06,41630.0,41735.0,109.5,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
393.15,15000000.0,0.0010522,498500.0,514280.0,1514.8,0.0,0.0,8.050000000000006e-06,41825.0,41945.0,104.75,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
413.15,15000000.0,0.0010708,582690.0,598750.0,1724.3,0.0,0.0,9.299999999999955e-06,42095.0,42235.0,100.79999999999995,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
433.15,15000000.0,0.001092,667630.0,684010.0,1925.8999999999999,0.0,0.0,1.060000000000004e-05,42470.0,42630.0,97.35000000000002,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
453.15,15000000.0,0.001116,753580.0,770320.0,2120.6,0.0,0.0,1.1999999999999966e-05,42975.0,43155.0,94.70000000000005,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
473.15,15000000.0,0.0011435,840840.0,858000.0,2310.0,0.0,0.0,1.3749999999999982e-05,43630.0,43840.0,92.54999999999995,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
493.15,15000000.0,0.0011752,929810.0,947430.0,2495.1,0.0,0.0,1.584999999999998e-05,44485.0,44715.0,91.15000000000009,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
513.15,15000000.0,0.0012121,1021000.0,1039200.0,2677.4,0.0,0.0,1.8450000000000042e-05,45595.0,45885.0,90.59999999999991,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
533.15,15000000.0,0.001256,1115100.0,1134000.0,2858.6,0.0,0.0,2.1949999999999964e-05,47050.0,47400.0,90.59999999999991,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
553.15,15000000.0,0.0013096,1213400.0,1233000.0,3041.0,0.0,0.0,2.68e-05,49150.0,49500.0,91.20000000000005,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
573.15,15000000.0,0.0013783,1317600.0,1338300.0,3227.9,0.0,0.0,3.435000000000005e-05,52100.0,52650.0,93.45000000000005,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
593.15,15000000.0,0.0014733,1431900.0,1454000.0,3426.2999999999997,0.0,0.0,4.7500000000000016e-05,57150.0,57850.0,99.19999999999982,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
613.15,15000000.0,0.0016311,1567900.0,1592400.0,3655.5,0.0,0.0,7.889999999999991e-05,68000.0,69200.0,114.60000000000014,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
638.9,20000000.0,0.0020378,1785800.0,1826600.0,4014.6,0.0,0.0,0.00020335000000000015,108950.0,117100.0,179.54999999999995,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
273.15,20000000.0,0.0009904,230.0,20030.0,0.5,0.0,0.0,1.249999999999949e-06,41240.0,41270.0,145.8,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
293.15,20000000.0,0.0009929,82710.0,102570.0,292.1,0.0,0.0,1.249999999999949e-06,41230.0,41270.0,136.25,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
313.15,20000000.0,0.0009992,165170.0,185160.0,564.6,0.0,0.0,3.1500000000000495e-06,41230.0,41295.0,128.09999999999997,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
333.15,20000000.0,0.0010084,247750.0,267920.0,820.8,0.0,0.0,4.600000000000003e-06,41290.0,41380.0,120.95000000000005,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
353.15,20000000.0,0.0010199,330500.0,350900.0,1062.7,0.0,0.0,5.750000000000004e-06,41375.0,41490.0,114.64999999999998,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
373.15,20000000.0,0.0010337,413500.0,434170.0,1292.0,0.0,0.0,6.900000000000005e-06,41500.0,41635.0,109.25,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
393.15,20000000.0,0.0010496,496850.0,517840.00000000006,1510.5,0.0,0.0,7.94999999999995e-06,41675.0,41835.00000000003,104.45000000000005,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
